rodada,vazao_mbps,retransmissoes,rtt_ms
1,26.9825,1206,1.083
2,26.3188,959,0.831
3,29.7439,573,1.180
4,30.3026,629,1.069
5,33.8325,235,1.020
6,28.1358,361,1.320
7,28.7648,803,1.120
8,30.4421,990,1.875
9,26.5631,872,0.956
10,27.8559,384,1.039
11,29.8136,584,0.985
12,28.1011,630,0.721
13,34.9512,419,1.163
14,30.1286,810,1.059
15,26.4933,27,1.189
16,29.9881,738,1.232
17,28.1705,1081,1.080
18,34.9166,230,1.427
19,32.1546,136,1.510
20,27.821,495,1.127
21,29.4634,676,1.259
22,35.4058,375,1.502
23,40.5082,306,1.590
24,32.0148,712,0.857
25,34.7761,225,4.364
26,32.3631,180,1.386
27,31.6655,1086,1.051
28,29.7087,751,1.315
29,34.9864,673,1.085
30,24.9548,1429,0.920
